# Progression simulation
# runs=8000 seed=12345 moveCap=1000 manualProxy=Rand
# Purchases:
Run	Label	Cost	ChipsAfter	TotalEarnedAfter
7060	421998224	77157	480236424	Combo	4003	126	256	
7080	423387453	74006	481625653	Combo	3451	133	256	
7100	424714340	105351	482952540	Combo	4634	128	512	
7120	426210416	108664	484448616	Combo	4774	111	512	
7140	428003406	23580	486241606	Combo	2815	119	64	
7160	429547493	86493	487785693	Combo	4399	127	256	
7180	430957749	30544	489195949	Combo	2514	110	128	
7200	432377312	22787	490615512	Combo	2610	124	128	
7220	434303981	51846	492542181	Combo	3240	141	256	
7240	435836743	34888	494074943	Combo	3101	133	128	
7260	437572028	25224	495810228	Combo	2287	141	128	
7280	439313883	116343	497552083	Combo	5869	180	256	
7300	440758500	69303	498996700	Combo	3971	158	256	
7320	442031959	86838	500270159	Combo	5489	181	256	
7340	443664583	99310	501902783	Combo	3534	148	512	
7360	444822575	54751	503060775	Combo	3272	135	256	
7380	446380937	182933	504619137	Combo	5842	195	512	
7400	447941122	251607	506179322	Combo	7251	182	1024	
7420	449894862	104849	508133062	Combo	5904	178	256	
7440	451496709	58116	509734909	Combo	3601	138	256	
7460	452644923	42386	510883123	Combo	3320	156	128	
7480	454416432	38525	512654632	Combo	3198	157	128	
7500	455725903	137738	513964103	Combo	5873	216	256	
7520	457511656	113812	515749856	Combo	4688	135	512	
7540	458885626	86898	517123826	Combo	3410	116	512	
7560	460751862	160362	518990062	Combo	5700	165	512	
7580	462612762	60832	520850962	Combo	3844	130	256	
7600	463881059	70979	522119259	Combo	4614	158	256	
7620	465537010	79987	523775210	Combo	4082	129	256	
7640	466885722	62307	525123922	Combo	3418	156	256	
7660	468192389	60812	526430589	Combo	3531	144	256	
7680	470195600	134352	528433800	Combo	6180	125	512	
7700	472126065	28835	530364265	Combo	2839	133	128	
7720	473611920	177733	531850120	Combo	6661	180	512	
7740	475094940	77177	533333140	Combo	3559	161	256	
7760	476813134	104233	535051334	Combo	4427	143	512	
7780	478488883	71017	536727083	Combo	3949	141	256	
